Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
androidLoginLogOut,,,,2023-07-17 09:55:56,2023-07-17 10:17:09,21m - 13.113s,FAILED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogin.Logout,,,,2023-07-17 09:55:57,2023-07-17 09:56:41,44.510s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-17 09:55:58,2023-07-17 09:56:31,33.003s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-07-17 09:56:31,2023-07-17 09:56:32,1.263s,PASSED
driver = getDriver(),,,,2023-07-17 09:56:32,2023-07-17 09:56:32,0.001s,PASSED
"getKeyboard().sendKeys(""mitra130323"")",,,,2023-07-17 09:56:32,2023-07-17 09:56:33,0.850s,PASSED
hideKeyboard(),,,,2023-07-17 09:56:33,2023-07-17 09:56:36,2.988s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Password""), 0)",,,,2023-07-17 09:56:36,2023-07-17 09:56:37,1.025s,PASSED
"getKeyboard().sendKeys(""1234Qwer"")",,,,2023-07-17 09:56:37,2023-07-17 09:56:38,0.630s,PASSED
hideKeyboard(),,,,2023-07-17 09:56:38,2023-07-17 09:56:40,1.989s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/androidButtonLogin""), 2)",,,,2023-07-17 09:56:40,2023-07-17 09:56:41,1.377s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogin.Logout,,,,2023-07-17 09:56:41,2023-07-17 09:59:04,2m - 22.492s,FAILED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-17 09:56:41,2023-07-17 09:57:02,21.209s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-07-17 09:57:02,2023-07-17 09:59:04,2m - 1.228s,FAILED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogin.Logout,,,,2023-07-17 09:59:04,2023-07-17 10:00:11,1m - 7.663s,PASSED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-07-17 09:59:04,2023-07-17 09:59:19,14.935s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-07-17 09:59:19,2023-07-17 10:00:05,45.864s,PASSED
driver = getDriver(),,,,2023-07-17 10:00:05,2023-07-17 10:00:05,0.000s,PASSED
"getKeyboard().sendKeys(""mitra130323"")",,,,2023-07-17 10:00:05,2023-07-17 10:00:05,0.679s,PASSED
hideKeyboard(),,,,2023-07-17 10:00:05,2023-07-17 10:00:07,1.826s,PASSED
"tap(findTestObject(""Object Repository/androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Password""), 0)",,,,2023-07-17 10:00:07,2023-07-17 10:00:08,0.705s,PASSED
"getKeyboard().sendKeys(""1234Qwer"")",,,,2023-07-17 10:00:08,2023-07-17 10:00:08,0.588s,PASSED
hideKeyboard(),,,,2023-07-17 10:00:08,2023-07-17 10:00:10,1.792s,PASSED
