Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSubmit(PickUpUnit),,Melakukan Penugasan dengan hasil Pick Unit Sukarela,,2023-07-18 15:30:42,2023-07-18 15:33:21,2m - 38.888s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/androidLogin(DEV),,,,2023-07-18 15:30:42,2023-07-18 15:31:21,38.329s,PASSED
"startExistingApplication(""pkp.mobile.fmui"", STOP_ON_FAILURE)",,,,2023-07-18 15:30:43,2023-07-18 15:31:07,24.110s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Username""), 0)",,,,2023-07-18 15:31:07,2023-07-18 15:31:10,2.247s,PASSED
driver = getDriver(),,,,2023-07-18 15:31:10,2023-07-18 15:31:10,0.002s,PASSED
"getKeyboard().sendKeys(""mitra130323"")",,,,2023-07-18 15:31:10,2023-07-18 15:31:11,0.998s,PASSED
hideKeyboard(),,,,2023-07-18 15:31:11,2023-07-18 15:31:14,3.519s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/android.loginPage.Field.Password""), 0)",,,,2023-07-18 15:31:14,2023-07-18 15:31:16,2.104s,PASSED
"getKeyboard().sendKeys(""1234Qwer"")",,,,2023-07-18 15:31:16,2023-07-18 15:31:17,0.700s,PASSED
hideKeyboard(),,,,2023-07-18 15:31:17,2023-07-18 15:31:20,2.729s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/loginPage/androidButtonLogin""), 2)",,,,2023-07-18 15:31:20,2023-07-18 15:31:21,0.901s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-07-18 15:31:21,2023-07-18 15:31:47,26.345s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-07-18 15:31:22,2023-07-18 15:31:40,18.087s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 0)",,,,2023-07-18 15:31:40,2023-07-18 15:31:41,0.937s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/profilePage/android.profilePage.ButtonSyncTask""), 0)",,,,2023-07-18 15:31:41,2023-07-18 15:31:42,0.919s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-18 15:31:42,2023-07-18 15:31:47,5.069s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-07-18 15:31:47,2023-07-18 15:32:09,21.974s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-18 15:31:48,2023-07-18 15:31:50,2.016s,PASSED
"verifyElementVisible(findTestObject(""android.Page.ProfileView""), 3)",,,,2023-07-18 15:31:50,2023-07-18 15:31:50,0.320s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-07-18 15:31:50,2023-07-18 15:31:55,5.016s,PASSED
"tap(findTestObject(""androidButtonMenu""), 0)",,,,2023-07-18 15:31:55,2023-07-18 15:31:56,1.372s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/menuPage/android.menuPage.Button.Penugasan""), 0)",,,,2023-07-18 15:31:56,2023-07-18 15:31:58,1.263s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.cardPenugasan""), 0)",,,,2023-07-18 15:31:58,2023-07-18 15:32:00,2.018s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-07-18 15:32:00,2023-07-18 15:32:01,1.371s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-18 15:32:01,2023-07-18 15:32:03,2.006s,PASSED
"swipe(0, 1926, 0, 1472)",,,,2023-07-18 15:32:03,2023-07-18 15:32:04,1.184s,PASSED
"verifyElementExist(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 3)",,,,2023-07-18 15:32:04,2023-07-18 15:32:05,0.268s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.selanjutnyaInformasi""), 0)",,,,2023-07-18 15:32:05,2023-07-18 15:32:06,1.175s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-18 15:32:06,2023-07-18 15:32:07,0.911s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.back(PojokKananAtas)""), 0)",,,,2023-07-18 15:32:07,2023-07-18 15:32:08,0.841s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.popUpPage.yesButton""), 0)",,,,2023-07-18 15:32:08,2023-07-18 15:32:09,1.504s,PASSED
,,,,,,,
Test Cases/APKDEV(FMUI)/Penugasan/PenugasanTimsusOrReguler_PenyerahanUnitSukarela,,,,2023-07-18 15:32:09,2023-07-18 15:33:21,1m - 11.806s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-07-18 15:32:10,2023-07-18 15:32:12,2.019s,PASSED
