Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PenugasanSyncTask-PenugasanBayar,,,,2023-08-08 09:41:28,2023-08-08 09:41:42,14.569s,FAILED
,,,,,,,
Test Cases/APKTEST(FMUI)/androidLogin(TEST),,,,2023-08-08 09:41:29,2023-08-08 09:41:35,6.666s,FAILED
"startExistingApplication(""pkp.mobile.fmui"", STOP_ON_FAILURE)",,,,2023-08-08 09:41:33,2023-08-08 09:41:35,2.698s,FAILED
,,,,,,,
Test Cases/APKTEST(FMUI)/Penugasan/PenugasanSyncTask,,Melakukan Sync Task,,2023-08-08 09:41:35,2023-08-08 09:41:37,1.958s,FAILED
"tap(findTestObject(""androidButtons/FMUI(DEV)/homePage/androidButtonProfile""), 0)",,,,2023-08-08 09:41:37,2023-08-08 09:41:37,0.602s,PASSED
,,,,,,,
Test Cases/APKTEST(FMUI)/Penugasan/Penugasan_SampaiDraft,,,,2023-08-08 09:41:37,2023-08-08 09:41:39,1.161s,FAILED
"startExistingApplication(""pkp.mobile.fmui"")",,,,2023-08-08 09:41:38,2023-08-08 09:41:38,0.031s,FAILED
,,,,,,,
Test Cases/APKTEST(FMUI)/Penugasan/Penugasan_PelunasanNormal,,Melakukan Penugasan dengan hasil Pelunasan Normal,,2023-08-08 09:41:39,2023-08-08 09:41:42,3.549s,FAILED
"delay(2, STOP_ON_FAILURE)",,,,2023-08-08 09:41:40,2023-08-08 09:41:42,2.086s,PASSED
"tap(findTestObject(""androidButtons/FMUI(DEV)/penugasanPage/android.Penugasan.Button.Selanjutnya""), 0)",,,,2023-08-08 09:41:42,2023-08-08 09:41:42,0.270s,PASSED
